noise_level,success_prob,has_advantage,ideal_prob,random_baseline
0.000000,0.937500,True,0.945313,0.125000
0.005000,0.500977,True,0.945313,0.125000
0.010000,0.299316,True,0.945313,0.125000
0.020000,0.160645,True,0.945313,0.125000
0.030000,0.137207,False,0.945313,0.125000
0.050000,0.119141,False,0.945313,0.125000
0.080000,0.125488,False,0.945313,0.125000
0.100000,0.131348,False,0.945313,0.125000
0.150000,0.128418,False,0.945313,0.125000
0.200000,0.119141,False,0.945313,0.125000
