noise_type,probability,degradation_abs,degradation_rel
Lý tưởng (Không nhiễu),0.950195,0.004883,-0.005165
Depolarizing,0.316895,0.628418,0.664773
Bit-Flip (X),0.664062,0.281250,0.297521
Phase-Flip (Z),0.614746,0.330566,0.349690
Amplitude Damping,0.768555,0.176758,0.186983
Readout Error,0.909668,0.035645,0.037707
